"ID","BulletinID","KBID","IsInstalled","Severity","SeverityText","Title","InformationURL","CVEIDs","Categories"
"MS15-060","MS15-060","3059317","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3059317)","http://support.microsoft.com/kb/3059317","","Security Updates Windows 7"
"MS15-015","MS15-015","3031432","False","3","Important","Security Update for Windows 7 for x64-based Systems (KB3031432)","http://support.microsoft.com/kb/3031432","","Security Updates Windows 7"
"MS12-072","MS12-072","2727528","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2727528)","http://go.microsoft.com/fwlink/?LinkId=260820","","Security Updates Windows 7"
"MS13-027","MS13-027","2807986","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2807986)","http://go.microsoft.com/fwlink/?LinkId=282639","","Security Updates Windows 7"
"MS12-013","MS12-013","2654428","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2654428)","http://go.microsoft.com/fwlink/?LinkId=238617","","Security Updates Windows 7"
"MS12-056","MS12-056","2706045","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2706045)","http://go.microsoft.com/fwlink/?LinkId=256487","","Security Updates Windows 7"
"MS11-085","MS11-085","2620704","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2620704)","http://go.microsoft.com/fwlink/?LinkId=229638","","Security Updates Windows 7"
"MS11-059","MS11-059","2560656","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2560656)","http://go.microsoft.com/fwlink/?LinkId=221539","","Security Updates Windows 7"
"MS12-006","MS12-006","2585542","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2585542)","http://go.microsoft.com/fwlink/?LinkID=232510","","Security Updates Windows 7"
"MS12-033","MS12-033","2690533","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2690533)","http://go.microsoft.com/fwlink/?LinkId=247902","","Security Updates Windows 7"
"MS11-075","MS11-075","2564958","False","0",,"Security Update for Windows 7 for x64-based Systems (KB2564958)","http://go.microsoft.com/fwlink/?LinkId=221538","","Security Updates Windows 7"
"MS14-053","MS14-053","2972211","False","3","Important","Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2972211)","http://support.microsoft.com/kb/2972211","","Security Updates Windows 7"
